id,recipe_id,food_id
0,1,2846
1,1,3466
2,1,2063
3,1,1662
4,1,3247
5,1,3115
6,1,2967
7,1,3584
8,1,3558
9,1,2406
10,1,2616
11,1,2105
12,2,728
13,2,2478
14,2,290
15,2,4212
16,2,2854
17,2,3664
18,2,1240
19,2,487
20,2,2967
21,3,1243
22,3,439
23,3,2321
24,3,71
25,3,1429
26,3,1349
27,3,255
28,3,4212
29,3,2967
30,3,4212
31,3,4212
32,3,4212
33,4,619
34,4,2398
35,4,2231
36,4,1023
37,4,1124
38,4,1451
39,4,1954
40,4,4212
41,4,1122
42,4,3727
43,4,4212
44,4,382
45,4,1349
46,4,447
47,4,1662
48,4,4212
49,5,4212
50,5,1145
51,5,2318
52,5,3466
53,5,72
54,5,608
55,6,728
56,6,2014
57,6,196
58,6,3923
59,6,4212
60,6,1429
61,6,3854
62,6,3388
63,6,711
64,6,3149
65,6,1004
66,7,3791
67,7,2852
68,7,382
69,7,1349
70,7,2063
71,7,2967
72,8,1145
73,8,2635
74,8,2300
75,8,3247
76,8,2967
77,8,2216
78,9,1859
79,9,447
80,9,3247
81,9,4017
82,9,2216
83,10,1688
84,10,2967
85,10,1122
86,10,2242
87,10,1264
88,10,209
89,10,3341
90,11,3260
91,11,2961
92,11,1392
93,11,1004
94,11,3149
95,11,3247
96,11,439
97,12,1406
98,12,2225
99,12,42
100,12,1429
101,12,1770
102,12,810
103,12,439
104,12,1482
105,12,1349
106,12,3149
107,12,597
108,12,3247
109,12,2092
110,13,2492
111,13,1004
112,13,3247
113,13,447
114,13,597
115,13,3801
116,13,2739
117,13,1219
118,13,650
119,13,1004
120,13,2163
121,13,2483
122,14,4212
123,14,21
124,14,3102
125,14,77
126,14,516
127,14,1953
128,14,439
129,14,1132
130,14,2967
131,14,2025
132,15,530
133,15,597
134,15,3714
135,15,696
136,15,918
137,15,77
138,15,2318
139,15,1961
140,15,2363
141,15,1269
142,15,4212
143,16,558
144,16,1406
145,16,4212
146,16,2635
147,16,536
148,16,1874
149,16,1004
150,16,3247
151,16,3149
152,16,439
153,17,2226
154,17,1702
155,17,1240
156,17,1397
157,17,4212
158,17,2854
159,17,4120
160,17,2653
161,17,3017
162,17,3646
163,17,1122
164,17,2025
165,17,4212
166,18,424
167,18,2532
168,18,4212
169,18,1229
170,18,4212
171,18,2242
172,18,1004
173,18,4212
174,18,1104
175,18,1406
176,18,2635
177,18,558
178,18,4193
179,19,2183
180,19,4102
181,19,1688
182,19,2765
183,19,3042
184,19,487
185,19,3805
186,19,21
187,19,1240
188,19,4212
189,19,4212
190,20,3705
191,20,2967
192,20,2025
193,20,1349
194,20,1122
195,20,3063
196,20,2866
197,20,1713
198,20,2955
199,20,1987
200,20,447
201,20,2259
202,20,696
203,20,2063
204,21,558
205,21,2866
206,21,1053
207,21,3609
208,21,487
209,21,2967
210,21,1122
211,21,4212
212,21,3217
213,21,421
214,22,2034
215,22,1320
216,22,2731
217,22,3573
218,22,2047
219,22,1349
220,22,1662
221,22,2967
222,23,558
223,23,42
224,23,1406
225,23,3625
226,23,2583
227,23,1200
228,23,1349
229,23,1953
230,23,4178
231,23,77
232,23,2967
233,23,2025
